"index","brewery_name","latitude","longitude","rating"
0,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
1,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
2,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
3,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
4,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
5,"NorthGate Brewing ","44.9983322","-93.2211744","4.2"
6,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
7,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
8,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
9,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
10,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
11,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
12,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
13,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
14,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
15,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
16,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
17,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
18,"Against the Grain Brewery","38.2554896","-85.7440216","4.4"
19,"Jack's Abby Craft Lagers","42.2801844","-71.4111676","4.6"
20,"Jack's Abby Craft Lagers","42.2801844","-71.4111676","4.6"
21,"Jack's Abby Craft Lagers","42.2801844","-71.4111676","4.6"
22,"Jack's Abby Craft Lagers","42.2801844","-71.4111676","4.6"
23,"Jack's Abby Craft Lagers","42.2801844","-71.4111676","4.6"
24,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
25,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
26,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
27,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
28,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
29,"Mike Hess Brewing Company","32.7477013","-117.1285406","4.6"
30,"Fort Point Beer Company","37.8031053","-122.4648487","3.7"
31,"Fort Point Beer Company","37.8031053","-122.4648487","3.7"
32,"Fort Point Beer Company","37.8031053","-122.4648487","3.7"
33,"Fort Point Beer Company","37.8031053","-122.4648487","3.7"
34,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
35,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
36,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
37,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
38,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
39,"COAST Brewing Company","32.8735877","-79.9720038","4.7"
40,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
41,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
42,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
43,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
44,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
45,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
46,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
47,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
48,"Great Divide Brewing Company","39.7538085","-104.9885278","4.6"
49,"Tapistry Brewing","41.9427766","-86.556101","4.4"
50,"Tapistry Brewing","41.9427766","-86.556101","4.4"
51,"Tapistry Brewing","41.9427766","-86.556101","4.4"
52,"Big Lake Brewing","42.791459","-86.107906","4.5"
53,"Big Lake Brewing","42.791459","-86.107906","4.5"
54,"The Mitten Brewing Company","42.9851272","-85.6811017","4.6"
55,"Brewery Vivant","42.9598071","-85.6461228","4.7"
56,"Brewery Vivant","42.9598071","-85.6461228","4.7"
57,"Brewery Vivant","42.9598071","-85.6461228","4.7"
58,"Brewery Vivant","42.9598071","-85.6461228","4.7"
59,"Brewery Vivant","42.9598071","-85.6461228","4.7"
60,"Brewery Vivant","42.9598071","-85.6461228","4.7"
61,"Brewery Vivant","42.9598071","-85.6461228","4.7"
62,"Brewery Vivant","42.9598071","-85.6461228","4.7"
63,"Brewery Vivant","42.9598071","-85.6461228","4.7"
64,"Brewery Vivant","42.9598071","-85.6461228","4.7"
65,"Brewery Vivant","42.9598071","-85.6461228","4.7"
66,"Brewery Vivant","42.9598071","-85.6461228","4.7"
67,"Brewery Vivant","42.9598071","-85.6461228","4.7"
68,"Brewery Vivant","42.9598071","-85.6461228","4.7"
69,"Brewery Vivant","42.9598071","-85.6461228","4.7"
70,"Brewery Vivant","42.9598071","-85.6461228","4.7"
71,"Brewery Vivant","42.9598071","-85.6461228","4.7"
72,"Brewery Vivant","42.9598071","-85.6461228","4.7"
73,"Brewery Vivant","42.9598071","-85.6461228","4.7"
76,"Brewery Vivant","42.9598071","-85.6461228","4.7"
77,"Brewery Vivant","42.9598071","-85.6461228","4.7"
78,"Brewery Vivant","42.9598071","-85.6461228","4.7"
79,"Brewery Vivant","42.9598071","-85.6461228","4.7"
80,"Brewery Vivant","42.9598071","-85.6461228","4.7"
81,"Brewery Vivant","42.9598071","-85.6461228","4.7"
82,"Brewery Vivant","42.9598071","-85.6461228","4.7"
83,"Brewery Vivant","42.9598071","-85.6461228","4.7"
84,"Brewery Vivant","42.9598071","-85.6461228","4.7"
85,"Brewery Vivant","42.9598071","-85.6461228","4.7"
86,"Brewery Vivant","42.9598071","-85.6461228","4.7"
87,"Brewery Vivant","42.9598071","-85.6461228","4.7"
88,"Brewery Vivant","42.9598071","-85.6461228","4.7"
89,"Brewery Vivant","42.9598071","-85.6461228","4.7"
90,"Brewery Vivant","42.9598071","-85.6461228","4.7"
91,"Brewery Vivant","42.9598071","-85.6461228","4.7"
92,"Brewery Vivant","42.9598071","-85.6461228","4.7"
93,"Brewery Vivant","42.9598071","-85.6461228","4.7"
94,"Brewery Vivant","42.9598071","-85.6461228","4.7"
95,"Brewery Vivant","42.9598071","-85.6461228","4.7"
96,"Brewery Vivant","42.9598071","-85.6461228","4.7"
97,"Brewery Vivant","42.9598071","-85.6461228","4.7"
98,"Brewery Vivant","42.9598071","-85.6461228","4.7"
99,"Brewery Vivant","42.9598071","-85.6461228","4.7"
100,"Brewery Vivant","42.9598071","-85.6461228","4.7"
101,"Brewery Vivant","42.9598071","-85.6461228","4.7"
102,"Brewery Vivant","42.9598071","-85.6461228","4.7"
103,"Brewery Vivant","42.9598071","-85.6461228","4.7"
104,"Brewery Vivant","42.9598071","-85.6461228","4.7"
105,"Brewery Vivant","42.9598071","-85.6461228","4.7"
106,"Brewery Vivant","42.9598071","-85.6461228","4.7"
107,"Brewery Vivant","42.9598071","-85.6461228","4.7"
108,"Brewery Vivant","42.9598071","-85.6461228","4.7"
109,"Brewery Vivant","42.9598071","-85.6461228","4.7"
110,"Brewery Vivant","42.9598071","-85.6461228","4.7"
111,"Brewery Vivant","42.9598071","-85.6461228","4.7"
112,"Brewery Vivant","42.9598071","-85.6461228","4.7"
113,"Brewery Vivant","42.9598071","-85.6461228","4.7"
114,"Brewery Vivant","42.9598071","-85.6461228","4.7"
115,"Brewery Vivant","42.9598071","-85.6461228","4.7"
116,"Brewery Vivant","42.9598071","-85.6461228","4.7"
117,"Petoskey Brewing","45.3968008","-84.9030441","4.5"
118,"Petoskey Brewing","45.3968008","-84.9030441","4.5"
119,"Petoskey Brewing","45.3968008","-84.9030441","4.5"
120,"Petoskey Brewing","45.3968008","-84.9030441","4.5"
121,"Blackrocks Brewery","46.546967","-87.394566","4.8"
122,"Blackrocks Brewery","46.546967","-87.394566","4.8"
123,"Blackrocks Brewery","46.546967","-87.394566","4.8"
124,"Blackrocks Brewery","46.546967","-87.394566","4.8"
125,"Blackrocks Brewery","46.546967","-87.394566","4.8"
126,"Blackrocks Brewery","46.546967","-87.394566","4.8"
127,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
128,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
129,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
130,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
131,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
132,"Perrin Brewing Company","43.0713315","-85.6814191","4.5"
133,"Witch's Hat Brewing Company","42.454514","-83.6503454","4.7"
134,"Witch's Hat Brewing Company","42.454514","-83.6503454","4.7"
135,"Founders Brewing Company","42.9584677","-85.6738198","4.5"
136,"Founders Brewing Company","42.9584677","-85.6738198","4.5"
137,"Founders Brewing Company","42.9584677","-85.6738198","4.5"
138,"Flat 12 Bierwerks","39.772835","-86.138683","4.6"
139,"Flat 12 Bierwerks","39.772835","-86.138683","4.6"
140,"Flat 12 Bierwerks","39.772835","-86.138683","4.6"
141,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
142,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
143,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
144,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
145,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
146,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
147,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
148,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
149,"Tin Man Brewing Company","40.4905709","-86.1327196","4.6"
150,"Black Acre Brewing Co.","39.7709647","-86.0709176","4.6"
151,"Brew Link Brewing","39.6892186","-86.4443325","4.6"
152,"Bare Hands Brewery","41.7602246","-86.117797","4.7"
153,"Three Pints Brewing","39.677991","-86.3701849","3.4"
154,"Three Pints Brewing","39.677991","-86.3701849","3.4"
155,"Three Pints Brewing","39.677991","-86.3701849","3.4"
156,"Three Pints Brewing","39.677991","-86.3701849","3.4"
