index,brewery_name,city,state,beer_name,style,ounces,latitude,longitude,rating,abv_percent
0,NorthGate Brewing ,Minneapolis, MN,Get Together,American IPA,16.0,44.9983322,-93.2211744,4.2,4.5
1,NorthGate Brewing ,Minneapolis, MN,Maggie's Leap,Milk / Sweet Stout,16.0,44.9983322,-93.2211744,4.2,4.9
2,NorthGate Brewing ,Minneapolis, MN,Wall's End,English Brown Ale,16.0,44.9983322,-93.2211744,4.2,4.8
3,NorthGate Brewing ,Minneapolis, MN,Pumpion,Pumpkin Ale,16.0,44.9983322,-93.2211744,4.2,6.0
4,NorthGate Brewing ,Minneapolis, MN,Stronghold,American Porter,16.0,44.9983322,-93.2211744,4.2,6.0
5,NorthGate Brewing ,Minneapolis, MN,Parapet ESB,Extra Special / Strong Bitter (ESB),16.0,44.9983322,-93.2211744,4.2,5.6000000000000005
6,Against the Grain Brewery,Louisville, KY,Citra Ass Down,American Double / Imperial IPA,16.0,38.2554896,-85.7440216,4.4,8.0
7,Against the Grain Brewery,Louisville, KY,London Balling,English Barleywine,16.0,38.2554896,-85.7440216,4.4,12.5
8,Against the Grain Brewery,Louisville, KY,35 K,Milk / Sweet Stout,16.0,38.2554896,-85.7440216,4.4,7.7
9,Against the Grain Brewery,Louisville, KY,A Beer,American Pale Ale (APA),16.0,38.2554896,-85.7440216,4.4,4.2
10,Against the Grain Brewery,Louisville, KY,Rules are Rules,German Pilsener,16.0,38.2554896,-85.7440216,4.4,5.0
11,Against the Grain Brewery,Louisville, KY,Flesh Gourd'n,Pumpkin Ale,16.0,38.2554896,-85.7440216,4.4,6.6000000000000005
12,Against the Grain Brewery,Louisville, KY,Sho'nuff,Belgian Pale Ale,16.0,38.2554896,-85.7440216,4.4,4.0
13,Against the Grain Brewery,Louisville, KY,Bloody Show,American Pilsner,16.0,38.2554896,-85.7440216,4.4,5.5
14,Against the Grain Brewery,Louisville, KY,Rico Sauvin,American Double / Imperial IPA,16.0,38.2554896,-85.7440216,4.4,7.6
15,Against the Grain Brewery,Louisville, KY,Coq de la Marche,Saison / Farmhouse Ale,16.0,38.2554896,-85.7440216,4.4,5.1
16,Against the Grain Brewery,Louisville, KY,Kamen Knuddeln,American Wild Ale,16.0,38.2554896,-85.7440216,4.4,6.5
17,Against the Grain Brewery,Louisville, KY,Pile of Face,American IPA,16.0,38.2554896,-85.7440216,4.4,6.0
18,Against the Grain Brewery,Louisville, KY,The Brown Note,English Brown Ale,16.0,38.2554896,-85.7440216,4.4,5.0
19,Jack's Abby Craft Lagers,Framingham, MA,House Lager,Keller Bier / Zwickel Bier,16.0,42.2801844,-71.4111676,4.6,5.2
20,Jack's Abby Craft Lagers,Framingham, MA,Leisure Time,American Pale Lager,12.0,42.2801844,-71.4111676,4.6,4.8
21,Jack's Abby Craft Lagers,Framingham, MA,Excess IPL,American India Pale Lager,16.0,42.2801844,-71.4111676,4.6,7.200000000000001
22,Jack's Abby Craft Lagers,Framingham, MA,Hoponius Union,American India Pale Lager,12.0,42.2801844,-71.4111676,4.6,6.7
23,Jack's Abby Craft Lagers,Framingham, MA,Calyptra,American India Pale Lager,12.0,42.2801844,-71.4111676,4.6,4.9
24,Mike Hess Brewing Company,San Diego, CA,Habitus (2014),American Double / Imperial IPA,16.0,32.7477013,-117.1285406,4.6,8.0
25,Mike Hess Brewing Company,San Diego, CA,Solis,American IPA,16.0,32.7477013,-117.1285406,4.6,7.5
26,Mike Hess Brewing Company,San Diego, CA,Jucundus,Wheat Ale,16.0,32.7477013,-117.1285406,4.6,6.0
27,Mike Hess Brewing Company,San Diego, CA,Habitus,American Double / Imperial IPA,16.0,32.7477013,-117.1285406,4.6,8.0
28,Mike Hess Brewing Company,San Diego, CA,Grazias,Cream Ale,16.0,32.7477013,-117.1285406,4.6,6.3
29,Mike Hess Brewing Company,San Diego, CA,Claritas,Kölsch,16.0,32.7477013,-117.1285406,4.6,5.800000000000001
30,Fort Point Beer Company,San Francisco, CA,Park,American Pale Wheat Ale,12.0,37.8031053,-122.4648487,3.7,4.7
31,Fort Point Beer Company,San Francisco, CA,Westfalia,American Amber / Red Ale,12.0,37.8031053,-122.4648487,3.7,5.6000000000000005
32,Fort Point Beer Company,San Francisco, CA,KSA,Kölsch,12.0,37.8031053,-122.4648487,3.7,4.6
33,Fort Point Beer Company,San Francisco, CA,Villager,American IPA,12.0,37.8031053,-122.4648487,3.7,6.3
34,COAST Brewing Company,Charleston, SC,Blackbeard,American Double / Imperial Stout,12.0,32.8735877,-79.9720038,4.7,9.3
35,COAST Brewing Company,Charleston, SC,Rye Knot,American Brown Ale,12.0,32.8735877,-79.9720038,4.7,6.2
36,COAST Brewing Company,Charleston, SC,Dead Arm,American Pale Ale (APA),12.0,32.8735877,-79.9720038,4.7,6.0
37,COAST Brewing Company,Charleston, SC,32°/50° Kölsch ,Kölsch,16.0,32.8735877,-79.9720038,4.7,4.8
38,COAST Brewing Company,Charleston, SC,HopArt,American IPA,16.0,32.8735877,-79.9720038,4.7,7.7
39,COAST Brewing Company,Charleston, SC,Boy King,American Double / Imperial IPA,16.0,32.8735877,-79.9720038,4.7,9.700000000000001
40,Great Divide Brewing Company,Denver, CO,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12.0,39.7538085,-104.9885278,4.6,5.0
41,Great Divide Brewing Company,Denver, CO,Hibernation Ale,Old Ale,12.0,39.7538085,-104.9885278,4.6,8.7
42,Great Divide Brewing Company,Denver, CO,Whitewater,American Pale Wheat Ale,12.0,39.7538085,-104.9885278,4.6,6.1
43,Great Divide Brewing Company,Denver, CO,Rumble,American IPA,12.0,39.7538085,-104.9885278,4.6,7.1
44,Great Divide Brewing Company,Denver, CO,Orabelle,Tripel,12.0,39.7538085,-104.9885278,4.6,8.3
45,Great Divide Brewing Company,Denver, CO,Lasso,American IPA,12.0,39.7538085,-104.9885278,4.6,5.0
46,Great Divide Brewing Company,Denver, CO,Yeti  Imperial Stout,Russian Imperial Stout,12.0,39.7538085,-104.9885278,4.6,9.5
47,Great Divide Brewing Company,Denver, CO,Colette,Saison / Farmhouse Ale,12.0,39.7538085,-104.9885278,4.6,7.3
48,Great Divide Brewing Company,Denver, CO,Titan IPA,American IPA,12.0,39.7538085,-104.9885278,4.6,7.1
49,Tapistry Brewing,Bridgman, MI,Peck's Porter,American Porter,16.0,41.94277659999999,-86.556101,4.4,6.5
50,Tapistry Brewing,Bridgman, MI,Reactor,American IPA,16.0,41.94277659999999,-86.556101,4.4,7.000000000000001
51,Tapistry Brewing,Bridgman, MI,Mr. Orange,Witbier,16.0,41.94277659999999,-86.556101,4.4,5.7
52,Big Lake Brewing,Holland, MI,Dark Star,American Stout,16.0,42.791459,-86.107906,4.5,8.0
53,Big Lake Brewing,Holland, MI,Ryecoe,American IPA,16.0,42.791459,-86.107906,4.5,6.2
54,The Mitten Brewing Company,Grand Rapids, MI,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16.0,42.9851272,-85.6811017,4.6,5.2
55,Brewery Vivant,Grand Rapids, MI,Belfort,Saison / Farmhouse Ale,16.0,42.9598071,-85.64612280000001,4.7,6.7
56,Brewery Vivant,Grand Rapids, MI,Star Runner,Belgian Pale Ale,16.0,42.9598071,-85.64612280000001,4.7,6.0
57,Brewery Vivant,Grand Rapids, MI,Tart Side of the Barrel,American Double / Imperial Stout,16.0,42.9598071,-85.64612280000001,4.7,9.8
58,Brewery Vivant,Grand Rapids, MI,Linnaeus Mango IPA,American IPA,16.0,42.9598071,-85.64612280000001,4.7,6.0
59,Brewery Vivant,Grand Rapids, MI,Beasts A'Burnin',Rauchbier,16.0,42.9598071,-85.64612280000001,4.7,7.000000000000001
60,Brewery Vivant,Grand Rapids, MI,Verdun,Bière de Garde,16.0,42.9598071,-85.64612280000001,4.7,7.7
61,Brewery Vivant,Grand Rapids, MI,Barrel Aged Triomphe,Belgian IPA,16.0,42.9598071,-85.64612280000001,4.7,6.5
