styles,parent,colors,ABV_RANGE,IBU_RANGE,description
Ale,,#FFAD00,--,--,"An Ale is a beer that is produced with a top fermenting yeast strain. In general, ales are fermented at warmer temperatures (60-70 F) and for a shorter period of time (2-3 weeks) than lagers. Most top fermenting yeasts strains  produce phenols, which impart spicy undertones to a beer, and esters, which provide fruit characteristics. Like lagers, ales can range dramatically in color from straw-gold to black, and can be found with a huge variance in strenght, from 0.5% ABV to more tha 15% ABV."
Mixed Styles,,#F0F0F0,--,--,"Some beers are better defined by a distinct characteristic imparted during the production process (addition of fruit or spices, wood aging, smoking of malt, etc.), rather than the type of yeast used (ale or lager) during fermentation. These beers are classified as ""Mixed""."
Lager,,#FFF597,--,--,"A Lager is a beer that is produced with a bottom fermenting yeast strain. In general, lagers are fermented at cooler temperatures (40-50 F) and for a longer period of time (4-6 weeks) than ales. Most bottom fermenting yeasts strains do not produce flavor or aroma altering compounds commonly found in ales, so the characteristics of lagers are usually straightforward, and come mostly from malt and hops. Like ales, lagers can range dramatically in color from straw-gold to black, and can be found with a huge variance in strenght, from 0.5% ABV% to more than 12% ABV."
Belgian / French Ale,Ale,#CF6900,4.0-14.0%,10-80,"Belgian and French Ale style beers possess a really huge range of flavors, colors and strengths. Some truly defy description and classification. But no matter what kind of beer we are talking about here, weak or strong, light or dark, sour or sweet, these beer styles are all brewed with special yeasts that impart the typical characteristics we all know of as ""Belgian"". Belgian brewers employ methods of brewing which sometime fly in the face of the established ""norms"". This might include processes such as high temperature fermentations, or their lack of fear in using native ""wild"" yeasts and bacteria or any and all kinds of adjuncts and spices.
Belgian yeast evolved through artificial selection to produce high levels of esters (fruity notes) and phenols (spicy notes such as pepper, cloves, etc). High fermentation temps, sometimes in the upper 80's °F and up accentuate or exaggerate these flavor and aroma characteristics. The use of wild yeast and lactic acid producing bacteria is another hallmark of Belgian beers. 
One other characteristic which sets Belgian and French Ale apart is the use of adjuncts. Belgian brewers have never been afraid of using a multitude of spices and different types of sugar (mostly made from beets) in their brews. Not all ales in this category will use spices and/or sugar, but when it is used, you normally can't reproduce the style without them."
Other,Mixed Styles,#F0F0F0,--,--,See parent or child style for the description.
American Lager,Lager,#FFCA5A,2.5-6.0%,8-45,"The pale lager-style beer originated in Europe in the mid-19th century, and moved to the US with German immigrants. As a general trend outside of Bavaria and the Czech Republic where the beers may be firmly hopped, pale lager developed as a modestly hopped beer, and sometimes used adjuncts such as rice or corn – and this was also true in the US.
Other terms for this type of beer, or sub-categories within it, include ""adjunct lager"", ""American-style light lager"", ""American-style low-carbohydrate light lager"", ""American-style lager"", ""American-style premium lager"" (a term used at the World Beer Cup), ""North American style-lager"" and ""North American-style premium lager""."
Pale Ale,Ale,#CB6200,3.0-12.0%,15-100,"In the 19th century, ales that were pale in color were often called “pale ale” or “bitter” interchangeably. Some historians point to brewing records from about 150 years ago, when these beers were referred to as “bitter ales” to distinguish them from the sweeter brown ales and mild ales of the day.
It is only in modern times that a distinction is made between pale ale and bitter, but even that division is blurry. Some consider the manner of dispensing the beer as the decisive factor: if the beer is served on draft, it would be called a bitter; if in a bottle, pale ale. No matter which name is used, these are the traditional beers of the English pub.
American brewers—who tend to shy away from the name “bitter”—make pale ales both in the more restrained English tradition and the more assertive American style.
Pale ale is essentially the beer that launched the modern brewing revolution in America, and one beer in particular deserves much of the credit."
Brown Ale,Ale,#B04500,3.0-8.8%,15-45,"Brown ale is a style of beer with a dark amber or brown colour. The term was first used by London brewers in the late 17th century to describe their products, such as mild ale, though the term has a rather different meaning today. 18th century brown ales were lightly hopped and brewed from 100% brown malt.
Today there are brown ales made in several regions, most notably England, Belgium and America. Other than being top-fermented and having a darker color than pale beers, brown ales share little in common in terms of flavour profile. 
They range from deep amber to brown in colour. Caramel and chocolate flavours are evident. Brown ales from northeastern England tend to be strong and malty, often nutty, while those from southern England are usually darker, sweeter and lower in alcohol. North American brown ales are usually drier than their English counterparts, with a slight citrus accent and an aroma, bitterness, and medium body due to American hop varieties. Fruitiness from esters are subdued. When chilled to cold temperatures, some haziness may be noticed."
Wheat beer,Ale,#FFBF42,4.0–8.0%,10–35,"Wheat beer is a beer, usually top-fermented, which is brewed with a large proportion of wheat relative to the amount of malted barley. The two main varieties are Weissbier, based on the German tradition, and Witbier, based on the Belgian tradition; minor types include Lambic (made with wild yeasts and bacteria), Berliner Weisse (a cloudy, sour beer), and Gose (a German-type sour, salty, herbal beer).
wo common varieties of wheat beer are Weißbier (German – ""white beer"") based on the German tradition of mixing at least 50% wheat to barley malt to make a light coloured top-fermenting beer, and witbier (Dutch – ""white beer"") based on the Belgian tradition of using flavorings such as coriander and orange peel. Belgian white beers are often made with raw unmalted wheat, as opposed to the malted wheat used in other varieties.
Both German Weißbier and Belgian witbier are termed ""white beers"" because ""wheat"" has the same etymological root as ""white"" in most West Germanic languages (including English).
U.S. brewers and Canadian brewers follow both of the main wheat beer traditions, usually with greater variation.
In Britain, wheat beer is not considered traditional;"
Pilsner,Lager,#FBB123,4.1-9.0%,25-65,"Pilsner styles of beer originate from Bohemia in the Czech Republic. They are medium- to medium-full bodied and are characterized by high carbonation and tangy Czech varieties of hops that impart floral aromas and a crisp, bitter finish. German pilsner styles are similar, though often slightly lighter in body and color. The hallmark of a fresh pilsner is the dense, white head. The alcohol levels must be such as to give a rounded mouthfeel, typically around 5 percent ABV. Classic pilsners are thoroughly refreshing, but they are delicate and must be fresh to show their best. Few beers are as disappointing to the beer lover as a stale pilsner. Great pilsners are technically difficult to make and relatively expensive to produce.
Pilsners are one of the more recent styles to be “imperialized,” with their characteristics, generally alcohol and hops, bumped up sufficiently to constitute a new style, but with a familiar profile. These new imperial pilsners may sacrifice pilsner’s famed delicacy, but they retain the floral aromas and dry, bitter finish of their progenitor style."
