,brewery_id,brewery_name,city,state,abv,beer_name,style,ounces,latitude,longitude,rating
0,0,NorthGate Brewing ,Minneapolis, MN,0.045,Get Together,American IPA,16,44.9983322,-93.2211744,4.2
1,0,NorthGate Brewing ,Minneapolis, MN,0.049,Maggie's Leap,Milk / Sweet Stout,16,44.9983322,-93.2211744,4.2
2,0,NorthGate Brewing ,Minneapolis, MN,0.048,Wall's End,English Brown Ale,16,44.9983322,-93.2211744,4.2
3,0,NorthGate Brewing ,Minneapolis, MN,0.06,Pumpion,Pumpkin Ale,16,44.9983322,-93.2211744,4.2
4,0,NorthGate Brewing ,Minneapolis, MN,0.06,Stronghold,American Porter,16,44.9983322,-93.2211744,4.2
5,0,NorthGate Brewing ,Minneapolis, MN,0.056,Parapet ESB,Extra Special / Strong Bitter (ESB),16,44.9983322,-93.2211744,4.2
6,1,Against the Grain Brewery,Louisville, KY,0.08,Citra Ass Down,American Double / Imperial IPA,16,38.2554896,-85.7440216,4.4
7,1,Against the Grain Brewery,Louisville, KY,0.125,London Balling,English Barleywine,16,38.2554896,-85.7440216,4.4
8,1,Against the Grain Brewery,Louisville, KY,0.077,35 K,Milk / Sweet Stout,16,38.2554896,-85.7440216,4.4
9,1,Against the Grain Brewery,Louisville, KY,0.042,A Beer,American Pale Ale (APA),16,38.2554896,-85.7440216,4.4
10,1,Against the Grain Brewery,Louisville, KY,0.05,Rules are Rules,German Pilsener,16,38.2554896,-85.7440216,4.4
11,1,Against the Grain Brewery,Louisville, KY,0.066,Flesh Gourd'n,Pumpkin Ale,16,38.2554896,-85.7440216,4.4
12,1,Against the Grain Brewery,Louisville, KY,0.04,Sho'nuff,Belgian Pale Ale,16,38.2554896,-85.7440216,4.4
13,1,Against the Grain Brewery,Louisville, KY,0.055,Bloody Show,American Pilsner,16,38.2554896,-85.7440216,4.4
14,1,Against the Grain Brewery,Louisville, KY,0.076,Rico Sauvin,American Double / Imperial IPA,16,38.2554896,-85.7440216,4.4
15,1,Against the Grain Brewery,Louisville, KY,0.051,Coq de la Marche,Saison / Farmhouse Ale,16,38.2554896,-85.7440216,4.4
