style,beer_name
American IPA,424
American Pale Ale (APA),245
American Amber / Red Ale,133
American Blonde Ale,108
American Double / Imperial IPA,105
American Pale Wheat Ale,97
American Brown Ale,70
American Porter,68
Saison / Farmhouse Ale,52
Witbier,51
Fruit / Vegetable Beer,49
Kölsch,42
Hefeweizen,40
American Pale Lager,39
American Stout,39
Cider,37
American Black Ale,36
German Pilsener,36
Märzen / Oktoberfest,30
Cream Ale,29
American Amber / Red Lager,29
Czech Pilsener,28
American Pilsner,25
Belgian Pale Ale,24
Pumpkin Ale,23
Extra Special / Strong Bitter (ESB),20
Vienna Lager,20
Munich Helles Lager,20
Scottish Ale,19
Belgian IPA,18
